st_num,ecoli_collect,ecoli_vol,assumed_vol,ecoli_cnt_48,pink_coliform_cnt_48,ylw_coliform_cnt_48,dist,ecoli_cnt_48/vol,coliform_cnt_48/vol,bac_cnt_48/vol,lat,long,decLat,decLong,phosphate,nitrate,salinity
SS-048,Y,100.00,N,9.00,191.00,0.00,17.00,0.09,1.91,2.00,38¡48.7' N,74¡32.0' W,38.812,-74.533,0.191,3.765,32.63
SS-049,Y,100.00,N,0.00,1.00,32.00,23.00,0.00,0.33,0.33,39¡2.5' N,74¡7.5' W,39.042,-74.125,0.195,0.166,32.63
SS-050,Y,100.00,N,7.00,2431.00,0.00,47.00,0.07,24.31,24.38,39¡20.3' N,73¡16.7' W,39.338,-73.278,0.191,2.381,32.85
SS-051,N,,,,,,,,,,39¡29.7' N,72¡19.1' W,39.495,-72.318,0.216,,33.59
SS-052,Y,100.00,N,0.00,0.00,0.00,91.00,0.00,0.00,0.00,39¡30.9' N,71¡31.8' W,39.515,-71.53,0.156,1.882,35.19
SS-053,N,,,,,,,,,,39¡44.2' N,70¡43.2' W,39.737,-70.72,0.32,,33.08
SS-054,Y,100.00,N,3.00,151.00,161.00,99.00,0.03,3.12,3.15,39¡37.1' N,70¡27.6' W,39.618,-70.46,0.223,0.664,33.02
SS-055,Y,,N,0.00,0.00,5.00,86.00,,,,39¡41.9' N,69¡47.3' W,39.698,-69.788,0.205,0,35.29
SS-056,Y,100.00,Y,0.00,0.00,0.00,85.00,0.00,0.00,0.00,39¡52.2' N,69¡19.9' W,39.87,-69.332,0.257,0.913,34.52
SS-057,Y,,N,0.00,0.00,14.00,71.00,,,,40¡43.3' N,68¡32.9' W,40.722,-68.548,0.271,0.83,32.84
SS-058,Y,100.00,N,0.00,0.00,0.00,47.00,0.00,0.00,0.00,41¡49.6' N,68¡52.5' W,41.827,-68.875,0.254,1.024,32.86
SS-059,N,,,,,,,,,,42¡26.4' N,70¡10.1' W,42.44,-70.168,0.205,,32.14
SS-060,Y,100.00,N,0.00,0.00,0.00,22.00,0.00,0.00,0.00,42¡26.3' N,70¡10.8' W,42.438,-70.18,,,32.1
SS-061,Y,100.00,N,2.00,1030.00,14.00,12.00,0.02,10.44,10.46,42¡15.4' N,70¡19.1' W,42.257,-70.318,,,31.18
SS-062,Y,100.00,N,62.00,200.00,0.00,7.00,0.62,2.00,2.62,42¡1.8' N,70¡23.8' W,42.03,-70.397,,,31.75
SS-063,Y,50.00,N,157.00,160.00,0.00,0.00,3.14,3.20,6.34,41¡32.2' N,70¡38.3'W,41.534,-70.641,,,
SS-064,Y,50.00,N,173.00,139.00,0.00,0.00,3.46,2.78,6.24,42¡31.4' N,70¡40.3'W,42.523333,-70.671667,,,31.62
